job_id,sort_order,city,district
98e37dd47e70a7b5,0,Hà Nội,
da3f4737d04d92b3,0,Hồ Chí Minh,Quận 1
097336ea1773dcea,0,Hồ Chí Minh,Thủ Đức
713b1e5bf5375493,0,Hà Nội,Cầu Giấy
422d78ef15e82440,0,Hà Nội,Hà Đông
59f55ce24c8b2e57,0,Hồ Chí Minh,Quận 3
ef7955a0ce55c4fe,0,Hồ Chí Minh,Quận 3
396ac38afafca598,0,Hồ Chí Minh,Quận 3
ab7117c502d8e16e,0,Hà Nội,
73d44248e8c83cea,0,Tây Ninh,Trảng Bàng
3e48517ac813a452,0,Hà Nội,Cầu Giấy
2a7dc83026993645,0,Hà Nội,Cầu Giấy
2e37e389a56784b6,0,Hà Nội,Cầu Giấy
471df472e34e9819,0,Hà Nội,Hà Đông
91118f2922d3c3ca,0,Hà Nội,Cầu Giấy
d4e9e88c82629fd4,0,Hồ Chí Minh,Quận 3
41cf882b378d1e10,0,Hà Nội,Hai Bà Trưng
148e9d91648ebc55,0,Hồ Chí Minh,Thủ Đức
19a0ec954db57ba1,0,Hồ Chí Minh,Thủ Đức
16094bcab6e054e7,0,Hồ Chí Minh,Tân Bình
6dd4b5a1d0ee3f91,0,Hồ Chí Minh,Quận 12
716cf6c4424c799a,0,Hồ Chí Minh,Thủ Đức
f69ced327f70e869,0,Đà Nẵng,Ngũ Hành Sơn
956ce4ffc90a82dc,0,Hồ Chí Minh,Quận 1
809efdd28fed5e85,0,Hà Nội,Thanh Trì
ad0696121362a050,0,Hà Nội,
e75426e1aa813850,0,Long An,Bến Lức
94b72022817cc485,0,Hồ Chí Minh,Bình Thạnh
7323d35d19c41bb9,0,Nước Ngoài,Hà Nội
7323d35d19c41bb9,1,Nam Từ Liêm,
2db7d08c9596ff73,0,Hà Nội,Cầu Giấy
9f7da44e1ed119c8,0,Hà Nội,Cầu Giấy
0a0a1153d222a7d8,0,Hà Nội,
bcccb25ab177064a,0,Nước Ngoài,Hà Nội
bcccb25ab177064a,1,Nam Từ Liêm,
bd6e3939ce8f2c79,0,Đồng Nai,Trảng Bom
04f1fdde35bc5654,0,Hà Nội,Đống Đa
8c24b00ceab290c8,0,Hà Nội,Hoàng Mai
b07fe5590181e6bd,0,Hồ Chí Minh,Quận 9
dab6caa6b96288a9,0,Hà Nội,Cầu Giấy
a02f880392d5719d,0,Hà Nội,Cầu Giấy
5d56e09009b96628,0,Hồ Chí Minh,Thủ Đức
7dc8e13602310021,0,Hà Nội,Đống Đa
dcfee12d22ac0bb8,0,Hà Nội,
345f24ce6ca6e63b,0,Hà Nội,Thanh Xuân
09c0ae1dd4bf76c0,0,Hà Nội,Cầu Giấy
f83e58cb1668d756,0,Hà Nội,Từ Liêm
3a4803acfa638d93,0,Hồ Chí Minh,Quận 12
e9975861e113889e,0,Hà Nội,Từ Liêm
